             VARIABLE : UPWELLING_INDEX
             DATA SET : Transports from FNMOC 360x181 6-hr pressure
             FILENAME : this_month_transport.nc
             FILEPATH : last_month/
             SUBSET   : 120 points (TIME)
             LONGITUDE: 122W
             LATITUDE : 36N
                           122W   
                           239
 01-JAN-2026 00:00 /   1:  -85.7
 01-JAN-2026 06:00 /   2:  -92.8
 01-JAN-2026 12:00 /   3:  -42.3
 01-JAN-2026 18:00 /   4:  -45.8
 02-JAN-2026 00:00 /   5:  -85.8
 02-JAN-2026 06:00 /   6:  -77.5
 02-JAN-2026 12:00 /   7:  -70.3
 02-JAN-2026 18:00 /   8: -113.5
 03-JAN-2026 00:00 /   9: -208.9
 03-JAN-2026 06:00 /  10:  -98.7
 03-JAN-2026 12:00 /  11:  -78.9
 03-JAN-2026 18:00 /  12:  -71.6
 04-JAN-2026 00:00 /  13:  -87.1
 04-JAN-2026 06:00 /  14:  -88.1
 04-JAN-2026 12:00 /  15:  -59.1
 04-JAN-2026 18:00 /  16:  -32.8
 05-JAN-2026 00:00 /  17:   -9.5
 05-JAN-2026 06:00 /  18:  -56.3
 05-JAN-2026 12:00 /  19: -167.4
 05-JAN-2026 18:00 /  20: -203.4
 06-JAN-2026 00:00 /  21: -144.8
 06-JAN-2026 06:00 /  22:  -78.9
 06-JAN-2026 12:00 /  23:  -17.9
 06-JAN-2026 18:00 /  24:  -14.6
 07-JAN-2026 00:00 /  25:   -0.8
 07-JAN-2026 06:00 /  26:    4.6
 07-JAN-2026 12:00 /  27:   14.2
 07-JAN-2026 18:00 /  28:   62.3
 08-JAN-2026 00:00 /  29:   55.9
 08-JAN-2026 06:00 /  30:   74.2
 08-JAN-2026 12:00 /  31:   59.1
 08-JAN-2026 18:00 /  32:   69.6
 09-JAN-2026 00:00 /  33:   69.9
 09-JAN-2026 06:00 /  34:   17.8
 09-JAN-2026 12:00 /  35:    4.2
 09-JAN-2026 18:00 /  36:    8.5
 10-JAN-2026 00:00 /  37:    8.5
 10-JAN-2026 06:00 /  38:    6.4
